9 19 0 8857 963 0 0
45 68 35.070345
99 53 48.901334
70 95 7.054353
53 35 27.236244
99 2 41.366314
97 25 35.645619
88 98 1.295511
93 46 48.651082
20 93 31.582080
0 2 19.875179 19.875179
0 4 35.934019 35.934019
0 7 46.545305 46.545305
1 2 45.579394 45.579394
1 3 18.306528 18.306528
1 4 18.138676 18.138676
1 5 19.026765 19.026765
1 6 29.842524 29.842524
1 7 45.670949 45.670949
2 7 22.072512 22.072512
3 4 2.615436 2.615436
3 5 28.292184 28.292184
3 6 40.871914 40.871914
3 7 30.916776 30.916776
3 8 15.999329 15.999329
4 5 21.935179 21.935179
4 6 37.551500 37.551500
5 6 43.061617 43.061617
7 8 38.906522 38.906522
