8 19 0 440 432 0 0
74 56 0.842311
3 48 44.143498
45 60 39.588610
96 40 40.212714
31 77 37.914670
66 90 9.669790
32 12 10.034486
9 58 41.615040
0 1 0.434889 0.434889
0 3 11.952574 11.952574
0 4 18.506424 18.506424
0 5 14.064455 14.064455
0 6 1.269570 1.269570
0 7 39.683218 39.683218
1 2 13.713492 13.713492
1 3 9.634693 9.634693
1 6 2.764977 2.764977
1 7 16.273995 16.273995
2 4 10.554827 10.554827
2 6 17.857906 17.857906
3 4 5.786309 5.786309
3 7 39.074374 39.074374
4 6 49.075289 49.075289
4 7 30.596332 30.596332
5 6 13.158055 13.158055
5 7 0.614948 0.614948
6 7 37.194433 37.194433
