9 15 0 7250 1052 0 0
18 62 0.195318
86 84 15.596484
84 38 12.501907
74 69 14.847255
96 92 38.673055
83 57 8.677938
56 77 33.899960
2 97 29.175695
95 64 2.093570
0 4 12.799463 12.799463
1 2 26.108585 26.108585
1 6 15.015107 15.015107
1 7 28.345592 28.345592
1 8 8.020264 8.020264
2 3 13.060396 13.060396
2 6 16.948454 16.948454
3 5 8.873257 8.873257
3 8 20.473342 20.473342
4 5 38.933988 38.933988
4 6 45.510727 45.510727
4 7 15.930662 15.930662
5 6 29.039888 29.039888
5 8 41.801202 41.801202
6 8 34.006775 34.006775
