8 18 0 3250 12 0 0
77 70 11.203345
4 54 19.573046
5 28 13.560900
61 36 4.307688
89 60 20.551164
91 78 48.735008
85 28 7.086398
82 95 12.717063
0 1 24.341563 24.341563
0 2 3.772088 3.772088
0 4 20.766320 20.766320
0 5 26.778466 26.778466
0 6 29.824213 29.824213
1 2 34.887234 34.887234
1 5 1.028474 1.028474
1 6 22.098453 22.098453
2 3 32.036805 32.036805
2 4 27.275918 27.275918
2 5 23.813593 23.813593
3 4 5.842769 5.842769
3 5 41.228980 41.228980
3 6 38.981292 38.981292
4 5 46.174505 46.174505
5 6 26.071963 26.071963
5 7 36.556597 36.556597
6 7 30.440687 30.440687
