9 18 0 7700 1368 0 0
20 85 15.869625
90 75 23.749504
92 48 47.578356
82 33 39.037751
48 59 45.051424
38 74 8.766442
88 10 7.760857
73 83 49.343852
23 72 33.236183
0 3 4.223762 4.223762
0 4 13.788263 13.788263
0 7 17.551195 17.551195
1 2 26.670125 26.670125
1 6 29.894406 29.894406
1 8 23.282571 23.282571
2 3 45.551927 45.551927
2 5 44.181646 44.181646
2 6 8.508560 8.508560
3 4 5.636769 5.636769
3 8 42.973113 42.973113
4 5 0.306711 0.306711
4 6 28.572954 28.572954
4 7 0.744652 0.744652
5 6 4.399243 4.399243
5 7 26.113163 26.113163
6 8 48.046815 48.046815
7 8 35.598315 35.598315
