8 17 0 3700 86 0 0
5 67 3.630177
58 81 43.009735
36 82 15.645314
19 93 22.197638
61 55 41.145054
68 62 37.861263
31 84 17.409284
46 28 13.039033
0 1 29.264199 29.264199
0 2 5.449080 5.449080
0 3 34.263131 34.263131
0 4 0.404370 0.404370
1 2 47.994934 47.994934
1 3 49.618519 49.618519
1 7 1.264992 1.264992
2 3 20.606098 20.606098
2 6 26.743370 26.743370
3 5 17.732780 17.732780
3 6 19.415876 19.415876
3 7 23.781549 23.781549
4 5 20.520646 20.520646
4 6 19.872127 19.872127
4 7 47.640919 47.640919
5 6 17.279580 17.279580
5 7 43.076876 43.076876
