9 14 0 5850 2242 0 0
6 5 47.135838
9 25 4.762413
85 27 39.310892
86 23 0.491348
28 90 33.652760
34 77 12.213507
42 35 17.151402
11 73 46.786401
80 8 36.014893
0 3 24.184393 24.184393
0 6 8.299509 8.299509
0 7 49.891659 49.891659
0 8 22.896512 22.896512
1 2 40.632344 40.632344
1 6 48.648030 48.648030
1 7 11.836604 11.836604
2 3 42.364269 42.364269
2 5 40.211188 40.211188
3 6 38.294626 38.294626
4 5 4.179510 4.179510
4 6 34.800256 34.800256
4 8 49.087497 49.087497
5 7 6.204413 6.204413
