7 16 0 7300 1236 0 0
27 73 27.071444
73 76 3.926206
57 28 0.770592
29 32 39.062166
96 8 46.234016
88 36 5.211035
98 54 49.238563
0 1 29.468673 29.468673
0 3 44.097720 44.097720
0 4 5.417035 5.417035
0 5 19.870602 19.870602
0 6 36.336863 36.336863
1 2 6.897183 6.897183
1 4 28.231147 28.231147
1 5 19.791253 19.791253
1 6 27.790155 27.790155
2 3 16.502884 16.502884
2 5 48.638874 48.638874
3 4 33.043916 33.043916
3 6 40.427870 40.427870
4 5 18.121891 18.121891
4 6 24.349193 24.349193
5 6 30.291147 30.291147
