9 24 0 2057 200 0 0
30 58 34.629353
63 18 41.750847
12 70 12.773522
17 70 40.952788
19 43 38.308359
55 49 46.005127
20 98 15.643788
64 80 47.416608
1 44 12.869655
0 1 17.361980 17.361980
0 2 1.741081 1.741081
0 3 31.933042 31.933042
0 4 48.377941 48.377941
0 6 29.760125 29.760125
0 8 20.805994 20.805994
1 3 36.530656 36.530656
1 4 27.112644 27.112644
1 6 16.920988 16.920988
1 7 32.215339 32.215339
2 3 4.574725 4.574725
2 4 25.650807 25.650807
2 5 47.647023 47.647023
2 7 15.388958 15.388958
2 8 0.285348 0.285348
3 4 17.101047 17.101047
3 5 31.664480 31.664480
3 6 43.966491 43.966491
3 7 34.786523 34.786523
3 8 18.295846 18.295846
4 7 33.326212 33.326212
6 7 38.659322 38.659322
6 8 38.354137 38.354137
7 8 20.155950 20.155950
