9 19 0 2428 255 0 0
35 95 23.102512
21 76 24.594867
66 41 23.119297
65 44 22.852260
78 85 7.855464
22 83 24.130985
39 60 43.641469
88 49 22.182379
49 12 9.013642
0 1 39.970092 39.970092
0 2 32.462539 32.462539
0 3 49.227882 49.227882
0 4 40.325632 40.325632
0 8 5.035554 5.035554
1 3 25.835444 25.835444
1 4 45.509201 45.509201
1 5 30.999176 30.999176
2 4 37.867367 37.867367
2 5 24.788659 24.788659
2 7 39.341411 39.341411
3 5 12.044130 12.044130
3 6 32.232124 32.232124
3 7 22.942289 22.942289
3 8 27.732170 27.732170
5 6 23.537400 23.537400
5 8 34.772790 34.772790
6 7 5.780206 5.780206
7 8 29.874569 29.874569
