9 16 0 8620 903 0 0
2 53 34.322642
46 9 35.572375
67 63 36.202582
33 76 13.988159
33 96 13.924070
53 36 16.808069
85 13 36.974700
89 50 28.208258
34 41 25.939207
0 1 6.326487 6.326487
0 2 42.367321 42.367321
0 3 21.475875 21.475875
0 4 6.199835 6.199835
0 5 47.709586 47.709586
0 8 4.062014 4.062014
1 2 40.578936 40.578936
1 3 0.036622 0.036622
1 4 17.891476 17.891476
1 5 37.250893 37.250893
1 7 0.279244 0.279244
3 6 6.035035 6.035035
4 7 26.482437 26.482437
5 7 45.027009 45.027009
5 8 22.666097 22.666097
6 7 5.774102 5.774102
