8 16 0 342 203 0 0
22 47 43.232521
50 82 19.513535
79 77 27.098910
73 33 28.049562
70 51 12.593463
33 21 14.798425
83 32 7.733390
1 18 46.574297
0 2 44.318979 44.318979
0 3 43.583483 43.583483
0 4 16.266366 16.266366
1 2 40.719321 40.719321
1 3 47.103793 47.103793
1 4 33.541368 33.541368
1 5 26.105533 26.105533
1 7 47.868282 47.868282
2 4 18.314158 18.314158
2 7 21.449934 21.449934
3 6 12.027345 12.027345
3 7 14.960173 14.960173
4 5 15.718558 15.718558
4 6 44.560076 44.560076
5 6 35.206153 35.206153
6 7 9.291360 9.291360
