9 17 0 4520 125 0 0
36 98 11.688589
46 4 39.590136
53 27 46.386608
87 76 32.996612
64 4 3.155614
84 88 23.439741
89 17 11.317789
4 18 1.750237
86 52 14.519181
0 3 24.243904 24.243904
0 4 6.291391 6.291391
0 5 9.907834 9.907834
0 6 28.307443 28.307443
1 2 11.700797 11.700797
1 5 7.203894 7.203894
1 8 3.480636 3.480636
2 3 20.987579 20.987579
2 5 3.091525 3.091525
3 4 35.650197 35.650197
3 5 6.988739 6.988739
3 6 19.814142 19.814142
4 5 24.427015 24.427015
4 6 37.841426 37.841426
5 7 39.573351 39.573351
5 8 17.775506 17.775506
6 7 11.223182 11.223182
