8 17 0 4480 1248 0 0
98 46 7.321390
88 51 8.030946
20 92 38.004700
67 48 0.061037
60 71 41.961425
13 44 5.587939
55 88 46.217231
73 70 30.481887
0 1 40.719321 40.719321
0 4 26.775414 26.775414
0 5 27.779473 27.779473
0 7 8.072146 8.072146
1 3 46.172979 46.172979
1 5 14.789270 14.789270
1 6 7.129124 7.129124
1 7 15.433210 15.433210
2 4 48.699911 48.699911
2 5 6.593524 6.593524
2 6 11.511582 11.511582
2 7 44.552446 44.552446
3 4 31.376080 31.376080
3 5 46.365246 46.365246
4 6 8.059938 8.059938
5 6 20.278024 20.278024
5 7 26.468703 26.468703
