8 17 0 8280 2055 0 0
90 34 5.290384
7 55 28.504288
43 64 19.142735
27 26 17.717521
87 10 13.631092
29 82 45.136876
18 1 4.139836
63 75 36.478774
0 3 18.004395 18.004395
0 4 45.908994 45.908994
0 5 47.518845 47.518845
0 6 16.710410 16.710410
0 7 15.976440 15.976440
1 3 21.686453 21.686453
1 4 25.116733 25.116733
1 6 39.490951 39.490951
1 7 7.823420 7.823420
2 3 34.069338 34.069338
3 6 36.257515 36.257515
3 7 34.907071 34.907071
4 5 1.849422 1.849422
4 6 42.831202 42.831202
4 7 25.547044 25.547044
5 6 31.295206 31.295206
5 7 12.950529 12.950529
