8 16 0 2300 625 0 0
83 40 6.408887
96 46 9.813227
53 31 44.123661
61 34 40.530107
49 34 37.299722
81 98 5.398724
9 43 21.193579
95 71 48.562578
0 2 2.908414 2.908414
0 3 32.782983 32.782983
0 4 31.443220 31.443220
0 5 5.900754 5.900754
0 6 33.799249 33.799249
1 2 1.596118 1.596118
1 4 19.486068 19.486068
1 5 30.161443 30.161443
2 3 16.896573 16.896573
2 4 6.195257 6.195257
2 6 40.653706 40.653706
3 4 17.525254 17.525254
3 5 35.557115 35.557115
4 6 8.885464 8.885464
5 6 18.826868 18.826868
6 7 21.852779 21.852779
