8 17 0 5560 289 0 0
4 41 23.853267
50 9 3.596606
48 23 1.637318
55 85 6.002991
60 46 33.764153
1 30 9.744560
12 29 14.497818
97 98 26.406140
0 1 3.250221 3.250221
0 2 11.558885 11.558885
0 3 32.964568 32.964568
0 4 34.962004 34.962004
0 5 26.274911 26.274911
1 2 1.921140 1.921140
1 4 15.036470 15.036470
1 5 44.703513 44.703513
2 3 15.199744 15.199744
3 4 42.832728 42.832728
3 5 2.554399 2.554399
3 6 7.943968 7.943968
3 7 44.422742 44.422742
4 5 28.974273 28.974273
4 6 5.644398 5.644398
4 7 5.178991 5.178991
5 7 42.965484 42.965484
