8 16 0 8320 96 0 0
26 6 0.001526
50 32 47.322001
35 83 38.784448
43 91 14.557329
58 85 49.139378
81 67 42.916654
5 21 30.521561
16 55 10.190130
0 1 10.899686 10.899686
0 3 19.238868 19.238868
0 5 10.185553 10.185553
0 7 43.736076 43.736076
1 2 16.505936 16.505936
1 3 6.233406 6.233406
1 4 42.886135 42.886135
1 6 34.578997 34.578997
1 7 23.169652 23.169652
2 6 6.097598 6.097598
2 7 24.050111 24.050111
3 6 47.212134 47.212134
3 7 41.930906 41.930906
4 5 43.336283 43.336283
4 6 22.838527 22.838527
5 6 35.637989 35.637989
