9 21 0 4716 1794 0 0
62 6 4.922636
60 47 46.479690
39 62 7.745598
90 76 12.245552
48 43 2.996918
10 11 9.086886
71 51 32.279427
67 58 16.182440
32 99 38.923307
0 3 20.360424 20.360424
0 4 47.546312 47.546312
0 6 34.756005 34.756005
1 3 20.369579 20.369579
1 4 3.762932 3.762932
1 5 9.224219 9.224219
1 6 2.433851 2.433851
1 7 4.478591 4.478591
1 8 44.567705 44.567705
2 3 5.026399 5.026399
2 4 41.413617 41.413617
2 5 35.503708 35.503708
2 6 14.043092 14.043092
2 7 41.004669 41.004669
3 4 18.216498 18.216498
3 6 19.820246 19.820246
3 7 29.688406 29.688406
4 5 33.532212 33.532212
4 6 48.202460 48.202460
6 8 6.563005 6.563005
7 8 17.346721 17.346721
