9 17 0 675 212 0 0
14 97 26.021607
45 84 32.299265
34 69 26.247444
20 97 22.576067
53 37 23.209326
17 41 0.030519
7 86 10.049745
93 99 5.040132
49 88 41.132847
0 2 5.656606 5.656606
0 3 1.342814 1.342814
0 4 32.555620 32.555620
0 7 40.136418 40.136418
0 8 28.467666 28.467666
1 4 7.730338 7.730338
1 8 45.846431 45.846431
2 4 17.838069 17.838069
2 6 27.124851 27.124851
2 8 47.233497 47.233497
3 6 4.202399 4.202399
3 8 29.015473 29.015473
4 6 10.434278 10.434278
4 7 40.125736 40.125736
4 8 39.532151 39.532151
5 6 4.915006 4.915006
5 8 6.259346 6.259346
