9 17 0 5250 194 0 0
21 1 0.663778
39 81 1.724296
49 42 18.309580
80 78 30.146184
3 12 7.406842
3 97 43.929868
52 51 20.355846
3 74 39.793085
90 16 45.918149
0 3 37.287515 37.287515
0 6 43.954283 43.954283
0 7 38.865322 38.865322
0 8 8.348338 8.348338
1 3 18.375195 18.375195
1 5 34.588153 34.588153
1 6 11.116367 11.116367
1 7 6.700339 6.700339
1 8 6.002991 6.002991
2 3 20.465712 20.465712
2 7 29.042940 29.042940
4 6 19.806513 19.806513
4 7 18.736839 18.736839
4 8 3.013703 3.013703
5 7 22.618793 22.618793
5 8 49.986267 49.986267
6 7 15.802484 15.802484
