8 18 0 5550 623 0 0
49 6 40.423292
91 96 3.820917
35 67 46.938993
9 84 10.374767
39 62 5.320902
54 9 33.568834
97 47 2.903836
42 99 40.980255
0 1 22.779015 22.779015
0 2 47.154149 47.154149
0 5 20.911283 20.911283
0 6 40.186773 40.186773
0 7 4.654073 4.654073
1 2 42.100284 42.100284
1 4 6.060976 6.060976
1 6 18.987091 18.987091
2 3 30.863369 30.863369
2 4 26.615192 26.615192
2 7 48.454237 48.454237
3 4 40.647603 40.647603
3 6 13.312174 13.312174
4 5 1.666311 1.666311
4 6 46.171453 46.171453
4 7 19.779046 19.779046
5 7 33.027131 33.027131
6 7 31.461531 31.461531
