8 14 0 6900 905 0 0
40 31 30.883206
93 13 30.414747
87 52 22.231208
49 92 23.645741
91 94 27.922910
17 80 20.882290
85 50 20.125431
27 87 13.106174
0 2 11.345256 11.345256
0 4 3.682058 3.682058
0 6 29.461043 29.461043
1 5 30.628376 30.628376
1 6 1.599170 1.599170
2 3 15.025788 15.025788
3 4 45.612964 45.612964
3 5 34.202094 34.202094
3 6 31.637013 31.637013
4 6 45.731986 45.731986
4 7 8.861049 8.861049
5 6 34.188360 34.188360
5 7 38.392285 38.392285
6 7 19.469283 19.469283
