8 19 0 4233 1068 0 0
95 60 0.376904
46 21 20.815149
48 50 43.296609
59 55 10.827967
53 81 37.229530
10 87 25.708792
5 85 17.720573
65 87 21.539964
0 1 20.407727 20.407727
0 2 27.254555 27.254555
0 3 32.201605 32.201605
0 4 16.103092 16.103092
0 5 20.627461 20.627461
0 6 27.709281 27.709281
0 7 19.959105 19.959105
1 2 48.586993 48.586993
1 6 22.669149 22.669149
1 7 0.654622 0.654622
2 3 1.068148 1.068148
2 7 17.072054 17.072054
3 4 13.646352 13.646352
3 6 1.542711 1.542711
3 7 41.084017 41.084017
4 6 48.080386 48.080386
4 7 13.614307 13.614307
5 6 45.008698 45.008698
6 7 9.978027 9.978027
