8 14 0 1480 2063 0 0
45 43 25.136570
27 94 31.189917
76 67 30.033265
64 58 34.055605
83 98 20.921964
95 55 26.816614
30 5 23.921934
56 73 45.487838
0 2 45.068209 45.068209
0 3 21.069979 21.069979
0 7 27.816095 27.816095
1 3 44.653157 44.653157
1 6 45.869320 45.869320
2 3 32.358776 32.358776
2 4 9.616382 9.616382
3 4 46.978668 46.978668
3 7 26.313059 26.313059
4 5 8.177435 8.177435
4 6 14.964751 14.964751
5 6 34.195990 34.195990
5 7 33.071383 33.071383
6 7 19.293802 19.293802
