9 18 0 3114 1197 0 0
72 56 28.524125
50 26 41.756951
64 34 16.765343
93 88 38.084048
43 7 25.922422
4 57 7.480087
72 35 28.836940
10 70 14.467299
28 91 35.569323
0 4 23.609119 23.609119
0 6 34.456923 34.456923
0 7 22.396008 22.396008
0 8 36.603900 36.603900
1 2 48.405408 48.405408
1 3 8.371227 8.371227
1 8 49.397259 49.397259
2 3 14.607685 14.607685
2 6 8.046205 8.046205
2 7 14.900662 14.900662
2 8 35.697501 35.697501
3 4 38.291574 38.291574
3 6 5.285806 5.285806
4 5 6.744591 6.744591
4 8 6.222724 6.222724
5 6 10.319834 10.319834
5 7 43.168432 43.168432
7 8 12.881863 12.881863
