8 15 0 3350 71 0 0
65 65 40.990936
13 64 33.060701
63 3 24.849696
85 16 28.023621
5 72 41.363262
42 5 5.861080
10 92 25.844600
84 26 21.166112
0 2 43.823054 43.823054
0 3 25.911740 25.911740
0 5 31.693472 31.693472
0 7 35.818049 35.818049
1 3 5.517747 5.517747
1 5 34.435560 34.435560
1 6 27.770318 27.770318
2 3 27.092807 27.092807
2 4 13.724174 13.724174
2 6 30.005799 30.005799
3 5 44.973601 44.973601
3 6 22.937712 22.937712
3 7 21.820734 21.820734
4 7 0.733970 0.733970
5 7 21.233253 21.233253
