9 22 0 4054 259 0 0
36 22 48.408460
61 5 26.201666
13 92 17.564928
51 82 12.251656
50 85 0.785852
43 89 44.267098
92 40 20.879238
44 18 18.027284
42 49 49.449141
0 2 26.673177 26.673177
0 3 48.974578 48.974578
0 5 41.103854 41.103854
0 6 32.033753 32.033753
0 7 19.519639 19.519639
1 4 39.094211 39.094211
1 5 24.304941 24.304941
1 6 45.152135 45.152135
1 7 41.169469 41.169469
1 8 39.762566 39.762566
2 5 11.603137 11.603137
2 6 46.389660 46.389660
2 8 8.850368 8.850368
3 4 34.443190 34.443190
3 7 6.442457 6.442457
3 8 34.508805 34.508805
4 5 48.332163 48.332163
4 6 15.987121 15.987121
4 8 40.694906 40.694906
5 6 42.085025 42.085025
5 7 20.415357 20.415357
6 8 2.497940 2.497940
