9 19 0 4109 930 0 0
18 67 1.792962
18 58 35.287027
1 8 26.351207
10 53 0.479141
86 85 19.737846
75 26 46.206549
42 35 3.691214
74 48 9.086886
1 80 14.000366
0 1 5.090487 5.090487
0 6 21.323283 21.323283
0 8 23.186438 23.186438
1 2 38.032167 38.032167
1 3 34.920804 34.920804
1 5 25.785089 25.785089
1 7 14.444411 14.444411
1 8 17.258217 17.258217
2 5 43.305765 43.305765
2 6 41.856136 41.856136
2 7 48.034608 48.034608
3 4 4.016236 4.016236
3 5 1.577807 1.577807
3 6 14.848781 14.848781
3 8 45.454268 45.454268
5 6 9.405805 9.405805
5 8 3.154088 3.154088
6 7 3.843806 3.843806
7 8 41.964476 41.964476
