8 15 0 6833 714 0 0
41 2 15.797906
32 50 7.385479
61 26 3.292947
86 91 20.499283
95 11 37.302774
73 10 8.067568
87 48 45.144505
58 42 29.087191
0 1 24.044008 24.044008
0 2 20.302438 20.302438
0 5 46.101260 46.101260
1 3 45.417646 45.417646
1 4 11.569567 11.569567
1 6 32.821131 32.821131
1 7 18.916898 18.916898
2 3 18.814661 18.814661
2 5 7.690664 7.690664
2 7 14.479507 14.479507
3 4 39.686270 39.686270
3 7 37.353130 37.353130
4 6 7.762383 7.762383
4 7 8.047731 8.047731
5 7 10.858486 10.858486
