9 19 0 8700 1140 0 0
84 44 46.971038
93 4 22.553179
12 92 5.687124
28 54 5.413984
50 85 40.803247
45 50 31.096835
26 69 28.081606
84 65 8.702353
71 48 3.878903
0 2 37.990967 37.990967
0 3 12.428663 12.428663
0 4 47.076327 47.076327
0 5 17.259743 17.259743
0 6 43.583483 43.583483
0 7 21.341594 21.341594
1 6 27.623829 27.623829
1 7 12.549211 12.549211
2 3 17.276528 17.276528
2 4 13.859981 13.859981
2 5 28.038881 28.038881
2 7 4.866176 4.866176
3 5 19.341105 19.341105
3 8 25.127415 25.127415
4 7 5.619984 5.619984
5 7 24.338511 24.338511
5 8 16.031373 16.031373
6 8 1.863155 1.863155
7 8 16.248054 16.248054
