8 14 0 1166 1322 0 0
65 23 9.022797
60 1 16.905728
21 63 1.486251
54 86 36.043886
95 36 5.735954
61 61 49.156163
75 86 20.094913
25 13 23.497726
0 2 18.840602 18.840602
0 4 15.109714 15.109714
0 7 42.722861 42.722861
1 6 28.995636 28.995636
1 7 39.381085 39.381085
2 3 23.674734 23.674734
2 4 15.932188 15.932188
2 5 1.069674 1.069674
3 5 30.968657 30.968657
3 6 17.706839 17.706839
3 7 38.308359 38.308359
4 6 26.255074 26.255074
5 7 15.305033 15.305033
6 7 43.058565 43.058565
