8 15 0 1742 952 0 0
18 87 6.109806
28 5 35.010834
20 55 11.233863
56 7 31.199072
97 35 49.067660
24 50 37.688833
31 31 39.695425
17 4 39.869381
0 1 46.835231 46.835231
0 2 23.657949 23.657949
0 3 33.120212 33.120212
0 5 29.425947 29.425947
0 7 17.967772 17.967772
1 3 26.384777 26.384777
1 4 2.177496 2.177496
1 5 6.598102 6.598102
1 7 44.611957 44.611957
2 3 17.978454 17.978454
2 5 9.378338 9.378338
3 4 35.216834 35.216834
3 6 11.980041 11.980041
3 7 7.165746 7.165746
5 7 2.409436 2.409436
