8 15 0 9160 1777 0 0
24 8 15.474410
7 59 43.414106
88 5 42.236091
48 62 17.352824
31 26 19.151891
2 76 9.389019
91 92 2.108829
96 27 6.254769
0 1 4.110843 4.110843
0 3 22.011475 22.011475
1 3 8.078249 8.078249
1 4 45.655690 45.655690
1 5 10.170293 10.170293
1 6 32.023072 32.023072
1 7 26.345103 26.345103
2 3 48.283334 48.283334
2 5 20.381787 20.381787
2 7 18.372143 18.372143
3 5 37.011322 37.011322
3 6 16.585284 16.585284
4 5 17.638173 17.638173
5 6 5.970946 5.970946
6 7 36.812952 36.812952
