9 18 0 1325 737 0 0
59 84 30.997650
91 17 27.597888
69 49 9.385968
43 27 36.783959
35 21 46.267586
95 70 34.636982
14 43 35.451827
63 58 16.255684
38 69 39.455855
0 4 23.253578 23.253578
0 5 47.352519 47.352519
1 3 33.117161 33.117161
1 4 38.195441 38.195441
1 5 7.687613 7.687613
1 8 18.263802 18.263802
2 3 25.472274 25.472274
2 4 23.308512 23.308512
2 5 9.964293 9.964293
3 4 28.960540 28.960540
3 8 31.058687 31.058687
4 6 24.491104 24.491104
4 8 20.682394 20.682394
5 7 31.347087 31.347087
5 8 31.731620 31.731620
6 7 5.569628 5.569628
6 8 36.034730 36.034730
7 8 18.465224 18.465224
