9 22 0 8125 1881 0 0
74 32 34.327219
15 85 42.344432
65 5 4.095584
35 98 18.388928
27 52 34.997101
29 70 23.838008
55 14 43.881039
39 75 21.648305
80 32 42.820521
0 2 46.903897 46.903897
0 4 34.112064 34.112064
0 5 24.427015 24.427015
0 6 16.368603 16.368603
0 8 14.717551 14.717551
1 2 30.832850 30.832850
1 4 46.319468 46.319468
1 5 8.087405 8.087405
1 6 28.447829 28.447829
1 7 22.168645 22.168645
1 8 10.324412 10.324412
2 4 27.593310 27.593310
2 5 7.623524 7.623524
2 6 2.873318 2.873318
2 7 37.209693 37.209693
3 4 20.113224 20.113224
3 5 33.429975 33.429975
3 8 8.447523 8.447523
5 7 12.964263 12.964263
5 8 28.461562 28.461562
6 7 47.111423 47.111423
7 8 41.082492 41.082492
