9 16 0 4360 751 0 0
56 81 41.026032
94 6 3.283792
40 29 6.050295
61 73 30.161443
36 81 12.221137
52 45 25.946837
82 73 2.368236
53 34 41.929380
35 5 16.380810
0 3 24.576556 24.576556
0 7 6.160161 6.160161
0 8 39.475692 39.475692
1 3 28.261666 28.261666
1 6 2.659688 2.659688
1 7 38.337352 38.337352
1 8 15.825373 15.825373
2 4 26.894436 26.894436
2 6 37.977233 37.977233
2 8 10.394604 10.394604
3 4 38.818018 38.818018
3 7 7.518235 7.518235
4 5 29.589221 29.589221
4 6 1.797540 1.797540
5 6 36.506241 36.506241
5 8 19.742424 19.742424
