8 16 0 4700 951 0 0
74 31 7.197790
22 88 26.288644
88 99 43.011261
88 11 10.222175
96 50 28.525651
78 79 35.786004
30 98 4.535051
27 43 26.354259
0 1 34.260079 34.260079
0 4 9.366131 9.366131
0 7 2.917570 2.917570
1 2 4.403821 4.403821
1 3 15.977966 15.977966
1 6 14.175848 14.175848
2 3 11.760308 11.760308
2 4 35.879086 35.879086
2 5 43.653676 43.653676
2 7 0.785852 0.785852
3 6 7.301553 7.301553
3 7 18.625446 18.625446
4 5 17.053743 17.053743
4 6 12.678915 12.678915
4 7 32.308420 32.308420
5 6 14.711447 14.711447
