8 15 0 5971 1258 0 0
18 13 30.271310
75 26 27.808466
45 68 26.445814
5 93 48.722800
26 85 26.421400
59 70 9.332560
16 72 1.469466
97 90 10.347301
0 1 23.665578 23.665578
0 2 11.224708 11.224708
0 6 1.687674 1.687674
1 2 49.134800 49.134800
1 3 22.624897 22.624897
1 4 42.904447 42.904447
1 5 47.967467 47.967467
1 6 40.635395 40.635395
1 7 32.438124 32.438124
2 5 33.570360 33.570360
3 6 20.532853 20.532853
3 7 16.872158 16.872158
4 5 46.461379 46.461379
5 7 0.424207 0.424207
6 7 10.292367 10.292367
