8 19 0 1771 1528 0 0
79 18 18.662069
69 35 43.816950
84 26 2.633747
35 78 43.961913
85 89 12.860500
2 42 48.202460
81 20 37.449263
98 12 49.435408
0 2 9.468368 9.468368
0 4 31.232643 31.232643
0 5 41.888180 41.888180
0 6 27.236244 27.236244
0 7 35.575426 35.575426
1 3 23.189489 23.189489
1 4 0.642415 0.642415
1 5 3.093051 3.093051
1 7 16.237373 16.237373
2 4 2.433851 2.433851
2 5 42.800684 42.800684
2 6 24.230171 24.230171
2 7 4.202399 4.202399
3 4 45.112461 45.112461
3 5 46.543779 46.543779
4 5 34.936064 34.936064
4 6 24.268319 24.268319
5 7 21.831416 21.831416
6 7 10.020753 10.020753
