9 20 0 83 2501 0 0
84 91 37.086093
34 20 25.572985
32 83 2.574236
18 75 2.189703
16 32 14.226203
56 34 13.014618
81 31 1.243629
75 82 23.711356
56 98 23.064364
0 2 30.893887 10.496841
0 4 39.414655 18.645283
0 5 5.381939 12.120426
0 7 47.674490 7.437361
1 4 23.763237 43.110446
1 7 40.784936 36.544389
1 8 46.119572 45.117038
2 3 41.264077 19.359416
2 5 22.061831 39.188818
2 7 35.399945 11.609241
2 8 44.677572 21.169164
3 4 27.936644 39.268166
3 7 40.432447 3.671377
4 8 43.137913 43.736076
5 6 32.175665 7.684561
5 7 26.816614 5.214087
5 8 27.497177 33.726005
6 7 27.787103 26.732688
6 8 49.011200 45.220801
7 8 20.160527 35.686819
