7 16 0 1333 271 0 0
72 84 7.156590
5 10 1.641896
65 5 47.396771
93 64 29.744865
48 48 1.332133
7 58 18.382824
18 45 23.616749
0 1 49.468978 9.288308
0 2 30.959502 17.798395
0 4 34.401990 42.138432
0 5 26.900540 45.579394
0 6 8.037049 36.902982
1 2 10.167241 27.759636
1 3 19.469283 0.685141
1 4 3.798029 36.278878
2 3 17.021699 23.480941
2 4 14.259774 6.204413
2 5 13.435774 4.455702
2 6 46.609394 44.251839
3 4 15.700247 15.620899
3 5 9.697256 2.130192
3 6 23.982971 1.655629
5 6 35.580004 34.415723
