8 15 0 7666 471 0 0
30 93 0.509659
80 75 10.576189
24 85 24.562822
69 99 46.662801
87 15 25.830866
97 39 20.741905
19 3 12.848292
79 56 47.132786
0 2 43.110446 6.653035
0 5 15.942869 12.649922
1 3 47.679067 45.123142
1 5 44.386120 40.607929
1 7 14.996796 47.445601
2 5 41.732536 46.336253
2 6 46.824549 46.433912
2 7 41.331217 47.173986
3 4 34.134953 35.279397
3 5 22.788171 28.308969
4 5 2.502518 26.970733
4 6 12.756737 27.591784
4 7 24.832911 19.258705
5 6 4.321421 20.444349
5 7 38.499100 18.042543
