9 15 0 3583 871 0 0
48 54 48.370312
12 81 7.171850
60 88 46.679586
47 39 41.146580
71 68 41.395306
58 27 11.397137
27 94 8.180486
42 79 45.097201
21 96 8.548235
0 4 22.246467 19.188513
0 5 17.247536 29.622791
0 8 1.907407 19.615772
1 3 17.619861 40.319529
1 5 29.577013 17.307047
1 6 33.814508 22.458571
1 7 9.791864 37.972655
1 8 38.245796 9.155553
2 5 7.420576 17.069002
2 6 4.995880 37.807855
2 8 32.763146 8.069094
3 5 4.882962 14.862514
3 6 38.349559 12.997833
3 8 10.419019 14.391003
5 6 15.665151 47.277749
