8 18 0 2600 148 0 0
15 85 37.449263
49 86 14.183477
95 88 46.624653
30 96 9.140294
54 29 29.720450
87 82 49.836726
60 65 18.933683
8 69 26.628925
0 1 24.388867 37.641530
0 3 28.211310 41.009247
0 4 45.248268 23.029267
1 2 7.153539 7.902768
1 3 44.674520 33.249916
1 4 46.763512 28.522599
1 5 31.698050 32.819605
1 6 15.083773 44.180120
2 3 15.369121 33.582568
2 4 15.602588 9.765923
2 5 25.267800 34.575945
2 6 9.015168 4.687643
2 7 16.325877 30.516984
3 4 2.941984 47.662282
3 5 16.466262 8.288827
4 5 12.820826 25.171667
4 7 1.989807 16.341136
6 7 41.644032 27.455977
