9 21 0 6812 13 0 0
7 60 1.341288
93 12 43.821528
82 5 26.404614
85 80 25.888852
79 10 18.669698
71 40 30.663472
44 41 49.089022
75 12 43.778802
79 38 8.104190
0 2 22.624897 30.402539
0 3 43.476669 8.449049
0 5 12.997833 19.516587
0 6 16.597491 2.096622
0 8 6.802576 39.706107
1 2 24.553667 42.837306
1 3 34.092227 42.469558
1 5 34.247871 1.304666
1 6 48.962371 45.736564
1 7 40.702536 36.420789
2 4 32.065798 35.117649
2 5 7.841731 41.627247
2 7 49.194311 19.063387
2 8 0.112918 8.389538
3 4 0.369274 5.029450
3 5 2.346873 32.442701
3 6 44.460891 20.204779
4 6 48.762474 6.135746
5 7 28.589740 33.274331
5 8 23.757134 15.018159
7 8 14.938810 8.943449
