8 16 0 8600 1493 0 0
18 22 35.404523
82 37 12.588885
85 56 5.925169
60 47 37.009796
44 53 7.238990
32 22 32.528153
73 81 2.969451
21 14 36.255989
0 4 24.031800 2.200385
0 5 19.934690 40.749840
0 7 29.302347 48.191778
1 2 36.832789 49.827570
1 3 44.119083 4.342784
1 5 1.992859 22.875149
2 5 20.975372 32.724998
2 6 16.725669 10.719626
2 7 3.288369 8.929716
3 6 41.523484 48.203986
3 7 2.618488 45.600757
4 5 32.184820 26.429029
4 6 18.352306 19.060335
4 7 2.945036 43.102817
5 7 38.195441 14.496292
6 7 15.598010 28.051088
