7 17 0 6581 4784 0 0
2 95 3.691214
33 41 23.874630
92 34 44.224372
11 48 1.872311
44 42 1.385540
22 14 7.197790
63 6 8.850368
0 1 30.642109 30.642109
0 2 22.859890 22.859890
0 3 36.826685 36.826685
0 5 48.245186 48.245186
1 2 35.485397 35.485397
1 3 23.274941 23.274941
1 4 22.330393 22.330393
1 5 27.381207 27.381207
1 6 11.555834 11.555834
2 3 6.198309 6.198309
2 4 40.939055 40.939055
2 5 14.328440 14.328440
3 5 28.002258 28.002258
3 6 5.038606 5.038606
4 5 44.021424 44.021424
4 6 29.734184 29.734184
5 6 43.440046 43.440046
