9 18 0 8514 996 0 0
54 4 10.209967
3 40 30.800806
29 90 30.161443
98 10 28.083132
23 27 35.227515
99 51 24.028748
85 30 33.437605
49 25 5.337687
74 48 13.043611
0 1 40.087588 40.087588
0 5 15.379803 15.379803
0 7 37.836848 37.836848
0 8 26.778466 26.778466
1 3 22.241890 22.241890
1 4 19.673757 19.673757
1 5 11.378826 11.378826
1 6 13.411359 13.411359
1 8 44.438002 44.438002
2 8 1.359600 1.359600
3 4 39.103366 39.103366
3 7 25.760674 25.760674
4 6 28.516495 28.516495
4 8 18.015076 18.015076
5 6 21.324808 21.324808
5 7 42.626728 42.626728
5 8 30.550554 30.550554
7 8 27.703177 27.703177
