8 15 0 977 43 0 0
84 64 7.121494
36 47 4.737999
61 21 46.777245
91 68 18.684957
15 25 24.680319
52 77 20.863979
69 15 26.110111
26 66 22.342601
0 1 8.128605 8.128605
0 4 21.800897 21.800897
0 5 0.604266 0.604266
0 6 31.475265 31.475265
0 7 4.318369 4.318369
1 2 5.870235 5.870235
1 5 22.786645 22.786645
1 6 31.533250 31.533250
2 3 14.441359 14.441359
3 4 43.711661 43.711661
3 5 32.586138 32.586138
3 6 38.251900 38.251900
3 7 13.226722 13.226722
4 7 23.537400 23.537400
5 6 21.581164 21.581164
