8 19 0 2875 307 0 0
81 2 11.021760
90 74 25.484481
57 21 42.590106
97 96 26.093326
99 29 42.518387
23 79 29.807428
66 25 14.593951
91 47 37.644581
0 1 25.006867 25.006867
0 2 2.299570 2.299570
0 3 17.757195 17.757195
0 5 22.402112 22.402112
0 6 2.475051 2.475051
0 7 12.112796 12.112796
1 2 44.761498 44.761498
1 3 12.616352 12.616352
1 4 42.222358 42.222358
1 6 6.781213 6.781213
2 3 13.753166 13.753166
2 4 47.863704 47.863704
2 5 20.793786 20.793786
2 7 8.383435 8.383435
3 4 31.705679 31.705679
3 6 10.611286 10.611286
4 5 15.953551 15.953551
4 7 32.567827 32.567827
5 6 23.880734 23.880734
