9 15 0 1171 1227 0 0
24 10 45.823542
47 21 36.439100
41 75 18.381298
75 15 24.433119
43 43 48.681600
22 79 26.535844
81 81 7.275613
9 84 12.503433
32 60 25.208289
0 3 32.795190 32.795190
0 5 19.699698 19.699698
1 2 49.272134 49.272134
1 3 5.113376 5.113376
1 5 27.510910 27.510910
1 6 45.890683 45.890683
1 7 34.598834 34.598834
1 8 8.557390 8.557390
2 3 1.817377 1.817377
2 5 44.866787 44.866787
2 7 2.824488 2.824488
4 6 33.625294 33.625294
4 7 16.290780 16.290780
5 7 18.308054 18.308054
7 8 11.178930 11.178930
