9 18 0 2250 104 0 0
46 30 6.154057
60 20 39.902951
49 51 23.091830
39 51 35.436567
81 60 18.514054
14 2 42.750328
62 96 6.936857
51 33 48.326060
15 22 20.357372
0 2 3.810236 3.810236
0 4 11.745048 11.745048
0 6 21.904660 21.904660
0 7 23.090304 23.090304
1 2 40.018921 40.018921
1 3 46.043275 46.043275
1 4 45.448164 45.448164
1 5 28.164006 28.164006
2 3 32.967620 32.967620
2 4 44.628742 44.628742
2 5 9.764397 9.764397
2 8 27.153844 27.153844
3 7 5.459761 5.459761
3 8 10.583819 10.583819
4 6 9.219642 9.219642
5 6 43.478195 43.478195
6 7 26.836451 26.836451
7 8 43.766594 43.766594
