8 14 0 4066 1515 0 0
46 52 30.947295
19 94 19.098483
5 55 17.886898
83 61 10.496841
41 98 7.432783
99 66 46.887112
85 72 32.676168
3 88 24.793237
0 1 11.206397 11.206397
0 2 21.213416 21.213416
0 5 12.224189 12.224189
0 6 18.204291 18.204291
1 3 32.284005 32.284005
1 5 46.618549 46.618549
1 6 10.937834 10.937834
1 7 3.653066 3.653066
2 6 11.140782 11.140782
3 4 27.579577 27.579577
3 5 2.845851 2.845851
4 5 31.147191 31.147191
5 6 38.853114 38.853114
5 7 18.607135 18.607135
