9 20 0 8571 651 0 0
46 83 47.808771
13 9 0.129704
89 69 9.508042
59 29 20.247505
19 40 33.239235
60 98 43.868831
22 75 10.596026
25 17 19.844661
68 38 14.894559
0 1 39.866329 39.866329
0 2 23.485519 23.485519
0 3 11.444441 11.444441
0 4 18.338572 18.338572
0 7 3.823969 3.823969
0 8 37.429426 37.429426
1 3 21.514023 21.514023
1 4 2.150029 2.150029
1 8 14.160588 14.160588
2 4 29.155858 29.155858
2 5 47.210608 47.210608
2 8 33.709220 33.709220
3 7 36.927396 36.927396
3 8 32.650227 32.650227
4 5 1.377911 1.377911
4 6 4.760887 4.760887
4 8 22.284616 22.284616
5 7 13.718070 13.718070
5 8 24.750511 24.750511
6 8 32.143620 32.143620
